name,category,short_description,feature_1,feature_2,feature_3,website
"Figma AI","Embedded AI","An integrated AI system for creating UI elements, placeholder content, and interactive prototypes without leaving Figma","Find design assets with visual or semantic search for faster inspiration","Generate, edit, and refine visuals and text directly in Figma","Convert designs into interactive prototypes or apps using natural language","https://www.figma.com/"
"Photoshop AI","Image Editor","An AI-powered extension of Photoshop designed to enhance and automate image editing tasks.","Add or remove elements using text prompts, seamlessly blending with your image","Increase canvas size and fill new areas with context-aware AI content","Transform descriptions into visuals, maintaining lighting, shadows, and perspective","https://www.adobe.com/products/photoshop.html"
"Sora","Video Generator","An AI image generator with open-source code that prioritizes model customization and community-led innovation","Create realistic videos up to 1080p resolution and 20 seconds long from written prompts","Utilize features like Storyboard, Remix, and Blend for seamless video creation","Available for ChatGPT Plus and Pro users, offering tiered access to video generation features","https://openai.com/sora/"
"Flow","Video Generator","A video generation and editing tool powered by Google Veo","Create videos, scenes, and clips seamlessly using Flow’s generative AI","Import or generate assets and manage them easily for your projects","Produce high-quality video with Google DeepMind’s state-of-the-art technology","https://labs.google/flow/about"
"Whisk","Image Generator","An image generation tool powered by Google Imagen","Create new images using AI based on your existing visuals or simple prompts","Adjust look, feel, and composition to match your creative vision","Experiment and refine outputs with easy-to-use editing tools for unique results","https://labs.google/fx/tools/whisk"
"Computer by Tldraw","Embedded AI","An infinite canvas playground built to explore AI models","Build and execute AI-driven workflows on an infinite canvas","Create and connect components like text, images, and audio clips to generate and transform data","Experiment with live AI outputs and adjust workflows in real time","https://computer.tldraw.com/"
"Higgsfield AI","Multi-Tool Platform","A cinematic AI video tool that enables dynamic camera movements, visual effects integration, and automated storyboard sequences","Generate dynamic camera movements like dolly zooms, crash zooms, and FPV drone perspectives","Integrate realistic VFX elements such as fire, explosions, and disintegration into your scenes","Build cohesive sequences by connecting start and end frames for smooth cinematic storytelling","https://higgsfield.ai/"
"Ideogram","Image Generator","An AI image generator producing high-quality visuals with accurate text and consistent characters","Turn detailed prompts into vivid, high-quality images with readable text","Maintain recognizable characters across multiple images for cohesive storytelling","Create images for illustration, design, and marketing while keeping high visual fidelity","https://ideogram.ai/t/explore"
"Pollo AI","Multi-Tool Platform","An AI platform for creating videos and images from text prompts, images, or clips, with flexible style transformation tools","Create videos and images from text prompts, existing images, or video clips","Access a wide range of AI models, including Kling AI, Runway, and DALL·E","Enjoy an intuitive interface that simplifies the creation process","https://pollo.ai/"
"Leonardo.ai","Image and Video Generator","A versatile generative platform offering high-quality image and video creation, advanced style controls, and seamless integration into creative workflows","Access models like Phoenix, Lucid Origin, and Flow State for diverse creative outputs","Transform images into animated videos with motion control and sound integration","Utilize Elements and Universal Upscaler to refine and enhance visual aesthetics","https://leonardo.ai/"
"Chat GPT","Conversational AI","A conversational AI by OpenAI that enables natural language interaction, creative content generation, and advanced reasoning across tasks","Engages in human-like conversation to assist with a wide range of topics","Generates content to help with writing, planning, and brainstorming","Provides advanced reasoning for problem solving and complex queries","https://chat.openai.com/"
"Claude","Conversational AI","Anthropic's conversational AI focused on intelligent dialogue, creative output, and strong safety principles.","Offers context-aware conversations with a strong focus on helpfulness and accuracy","Creates structured content for writing, research, and creative projects","Prioritizes safety and alignment to ensure responsible AI interactions","https://claude.ai/"
"Perplexity AI","Conversational AI","An AI-powered search and answer engine that combines conversational responses with real-time web information for accurate, sourced results","Delivers up-to-date answers using live web data and citations","Supports natural dialogue for interactive, research-driven conversations","Provides transparent sourcing to ensure reliability and trust","https://www.perplexity.ai/"
"Gemini","Conversational AI","A versatile AI model enabling natural dialogue, content creation, and seamless integration with Google’s ecosystem","Handles text, images, and code for versatile problem-solving","Offers deep reasoning for research, analysis, and creative projects","Integrates with Google services for seamless workflows and productivity","https://gemini.google.com/"
"Notion AI","Embedded AI","An AI-powered assistant built into Notion that helps users write, brainstorm, and automate tasks within their workspace","Generates clear, structured content for notes, documents, and projects","Provides summaries and insights to streamline research and planning","Enhances productivity and workflows with integrated AI features","https://www.notion.com/product/ai"
"Canva AI","Embedded AI","An AI-powered design assistant within Canva that helps users generate text, create visuals, and streamline creative workflows","Produces custom designs and visual assets tailored to your needs","Generates text content for captions, headlines, and marketing copy","Enhances design efficiency with quick edits, templates, and automation","https://www.canva.com/ai-assistant/"
"LM Arena","Multi-Tool Platform","An interactive platform for exploring and comparing large language models through head-to-head evaluations and community feedback","Enables model comparisons to see strengths and weaknesses side by side","Provides real-time testing of multiple AI systems in a single interface","Gathers community insights to improve transparency and understanding","https://lmarena.ai/"
"Krei AI","Multi-Tool Platform","A creative platform for real-time image generation, fine-tuning, and style exploration powered by AI","Provides real-time generation for instant visual feedback and iteration","Offers style personalization to achieve unique artistic aesthetics","Empowers creators with granular control over composition and details","https://www.krea.ai/"
"HeyGen","Video Generator","An AI-powered video platform that enables users to create realistic avatar videos, translate speech, and generate content with ease","Creates lifelike avatars for personalized and professional video content","Supports multilingual translation with accurate lip-syncing","Simplifies video production with automated scripting and editing tools","https://www.heygen.com/"
